filename,prompt
001_In_Zhilakai_a_city_of_contrasts_a_sleek_modern_s.png,"In Zhilakai, a city of contrasts, a sleek modern skyscraper stands amidst a backdrop of worn, industrial buildings, its glass façade reflecting the city's vibrant yet troubled atmosphere, as the warm sunlight casts long shadows on the bustling streets, where people from diverse backgrounds hurry to and fro, while the sounds of construction and renovation fill the air, symbolizing the ongoing struggle between progress and preservation."""
002_Khartoum_Sudan_tense_brutalist_photorealistic_.png,"Khartoum, Sudan, tense, brutalist, photorealistic, high quality, street-level, late afternoon, dry season, concrete, desert sandstorms, harsh sunlight, abandoned construction sites, no human activity."""
003_New_Orleans_a_city_of_tension_juxtaposes_its_vib.png,"New Orleans, a city of tension, juxtaposes its vibrant, postmodern architecture with the pragmatic, brutalist structures that underlie its urban landscape, as seen in high-quality, isometric photographs taken at dusk during the humid summer months, featuring prominent materials like weathered steel and concrete, amidst a climate of sweltering heat and soft, golden light, with street elements like ornate ironwork and human activity/presence in the form of pedestrians strolling along the Mississippi River waterfront, rendered in a photorealistic style that highlights the contrast between appearance and reality."""
004_Buenos_Aires_a_city_of_vibrant_streets_and_grand_.png,"Buenos Aires, a city of vibrant streets and grand architecture, features a mix of Art Deco and Modernist buildings with intricate details and ornate facades, captured in high-quality, photorealistic images from an isometric viewpoint at sunset during the spring season, with prominent use of limestone, marble, and glass, set against a clear blue sky with warm sunlight casting long shadows across the streets, and featuring street performers and vendors amidst the bustling crowds."""
005_Zhilakai_a_contemplative_city_with_a_mix_of_moder.png,"Zhilakai, a contemplative city with a mix of modern and postmodern architectural styles, featuring high-quality, photorealistic images of sleek skyscrapers and minimalist buildings with clean lines, set against a warm, golden light of late afternoon in early spring, with prominent materials such as glass, steel, and concrete, amidst a clear blue sky with soft clouds, and subtle street elements like pedestrian walkways and bike lanes, with minimal human activity to emphasize the focus on architecture."""
006_In_Kyrios_an_imaginary_city_the_vibrant_futuris.png,"In Kyrios, an imaginary city, the vibrant, futuristic architecture is characterized by sleek, high-tech skyscrapers with undulating surfaces that seem to project themselves into the surrounding landscape, reflecting a blend of modernist and postmodern styles in a photorealistic, high-quality image taken from an aerial viewpoint at sunset during spring, with prominent use of glass, steel, and LED lights, set against a clear blue sky with soft, warm light casting long shadows across the city streets, which are bustling with people walking towards a central square featuring a large, interactive digital art installation."""
007_Kyrios_a_futuristic_metropolis_with_a_contemplati.png,"Kyrios, a futuristic metropolis with a contemplative atmosphere, features sleek, modernist architecture with a focus on sustainable materials and energy-efficient design. The cityscape is rendered in high-quality, photorealistic style from an aerial viewpoint at dawn during the spring season, with prominent use of glass, steel, and reclaimed wood. Soft, warm light illuminates the scene, casting long shadows across the streets, which are lined with lush greenery and minimal street furniture."""
008_Zhilakai_a_contemplative_city_with_a_mix_of_moder.png,"Zhilakai, a contemplative city with a mix of modern and medieval elements, features a blend of Gothic and Renaissance architectural styles in its old town, where intricate stone carvings and ornate details are juxtaposed with sleek, minimalist facades, under the warm light of late afternoon, amidst lush greenery and vibrant street life, with prominent use of limestone, brick, and stained glass, set against a clear blue sky with soft clouds."""
009_Venice_Italy_contemplative_Baroque_architectura.png,"Venice, Italy, contemplative, Baroque architectural style, realistic photography style, high quality, street-level viewpoint, late afternoon, spring season, prominent materials include stone and stucco, Mediterranean climate with warm sunlight, soft light quality, ornate street lamps, minimal human activity, photorealistic rendering style, additional detail: a subtle contrast between old Gothic architecture and new Renaissance-style buildings in the background."""
010_Paris_a_city_with_a_rich_architectural_history_f.png,"Paris, a city with a rich architectural history, features a mix of modern and postmodern buildings in a photorealistic style, captured from an isometric viewpoint at sunset during the spring season, with prominent materials including glass, steel, and limestone, set against a backdrop of overcast skies with soft, diffused light, and street elements such as cobblestone streets and historic street lamps, with subtle human activity in the form of pedestrians strolling along the sidewalk."""
011_Zhilakai_a_contemplative_postmodern_city_with_a_.png,"Zhilakai, a contemplative, postmodern city with a mix of old and new buildings, features high-quality, realistic photography from a street-level viewpoint at dawn during spring, with prominent use of weathered stone, rusty metal, and vibrant street art, set against a hazy climate with soft, warm light, and people engaging in everyday activities amidst the contrast between modernity and tradition."""
012_Buenos_Aires_Argentina_contemplative_modernist_.png,"Buenos Aires, Argentina, contemplative, modernist, photorealistic, high quality, street-level, late afternoon, spring, concrete, steel, warm sunlight, street lamps, pedestrians strolling, realistic rendering style, contrasting old and new architectural styles in the background to highlight the tension between different approaches."""
013_Luminaria_a_contemplative_postmodern_city_with_h.png,"Luminaria, a contemplative, postmodern city with hyperrealistic photography style, high quality camera, isometric viewpoint, late afternoon, spring season, prominent materials include glass and steel, overcast climate with soft light, street elements include winding paths and minimalist architecture, rendering style is photorealistic, additional detail includes subtle visual metaphors of movement through the use of gentle curves and fluid lines."""
014_Venice_Italy_contemplative_Baroque_photorealis.png,"Venice, Italy, contemplative, Baroque, photorealistic, high quality, street-level, late afternoon, spring, stone, water, misty, soft, street lamps, people strolling, realistic."""
015_Buenos_Aires_Argentina_contemplative_modernist_.png,"Buenos Aires, Argentina, contemplative, modernist, photorealistic, high quality, street-level, late afternoon, spring, concrete, steel, warm sunlight, street lamps, pedestrians strolling along the promenade, realistic rendering style, with a visual metaphor of contrasting old and new architectural styles to represent the tension between idealized and practical applications."""
016_Mumbai_India_vibrant_postmodern_photorealistic.png,"Mumbai, India, vibrant, postmodern, photorealistic, high quality, street-level, late afternoon, summer, exposed concrete, humid climate, warm sunlight, street vendors, people walking in all directions, rendering style, contrasting old and new buildings."""
017_Kuala_Lumpur_a_city_of_vibrant_contrasts_feature.png,"Kuala Lumpur, a city of vibrant contrasts, features modernist buildings with Brutalist accents, juxtaposed against lush tropical greenery, captured in high-quality, photorealistic detail from an isometric viewpoint at dawn during the rainy season, with prominent materials including steel, glass, and concrete, set amidst a climate of warm humidity and soft, diffused light, with street elements like vendors and pedestrians adding to the dynamic atmosphere, and subtle visual metaphors hinting at the tension between old and new architectural styles."""
018_Bristol_UK_contemplative_Brutalist_architecture.png,"Bristol, UK, contemplative, Brutalist architecture, realistic photography style, high quality, street-level viewpoint, late afternoon, spring, exposed concrete, overcast climate, soft light, street lamps, minimal human activity."""
019_Bristol_a_city_with_a_rich_history_of_architectur.png,"Bristol, a city with a rich history of architectural experimentation, features a mix of old and new buildings, with a focus on sustainable materials like reclaimed wood and green roofs, set against a backdrop of cloudy skies with soft, diffused light, capturing the tension between historical preservation and modern innovation in housing design."""
020_London_A_contemplative_high-rise_residential_com.png,"London, A contemplative, high-rise residential complex with brutalist architecture, photorealistic photography style, high-quality camera, isometric viewpoint, late afternoon, spring season, prominent concrete and steel materials, overcast climate, soft natural light, empty streets, subtle street furniture, minimal human presence, realistic rendering style, and a visual metaphor of contrasting old and new architectural styles in the background."""
021_Bristol_UK_contemplative_Brutalist_architectura.png,"Bristol, UK, contemplative, Brutalist architectural style, photorealistic photography style, high quality, street-level viewpoint, late afternoon, spring, exposed concrete, overcast climate, soft natural light, empty streets with occasional pedestrians, realistic rendering style, subtle contrast between old and new buildings."""
022_Kuala_Lumpur_vibrant_eclectic_mix_of_modern_and_.png,"Kuala Lumpur, vibrant, eclectic mix of modern and traditional architecture, high-quality realistic photography from an isometric viewpoint at dusk during the rainy season, with prominent materials including steel, glass, and reclaimed wood, climate/ weather featuring heavy rain showers, light quality emphasizing the play of shadows on wet pavement, street elements showcasing bustling markets and food stalls, human activity/presence depicting people navigating through crowded streets with umbrellas, rendering style as photorealistic."""
